feature,importance
dep,17.210376207933205
col,10.975665232464895
vma_bucket,7.556076107628108
driver_trajet_family,7.3150546890637616
driver_age_bucket,7.134638759323886
catr,6.391079114894759
manv_mode,5.915676460934045
choc_mode,5.798031604359914
catv_family_4,5.754855179036579
circ,5.504237204170806
int,4.624039705637909
time_bucket,4.273336580392394
lum,4.081335335365388
agg,3.812883401936532
atm,3.6527144168577
