feature,importance
dep,17.210377242697422
col,10.975648786299534
vma_bucket,7.556063084371802
driver_trajet_family,7.3150443909717655
driver_age_bucket,7.134629219007546
catr,6.391065528737738
manv_mode,5.915668227688415
choc_mode,5.798023776718642
catv_family_4,5.754846855018551
circ,5.504294459227382
int,4.624032955264916
time_bucket,4.273330447559066
lum,4.081335014045774
agg,3.8129305356649033
atm,3.6527094767268986
