trial,loss,pr_auc,roc_auc,recall,precision,f1,f2,threshold,best_iteration
27,-0.7154179261375494,0.7154179261375494,0.8215471436394614,0.9232583607109763,0.4906876790830946,0.6408045136960271,0.7848753938699513,0.159932475087583,3997
25,-0.7145359319937808,0.7145359319937808,0.8214214520700174,0.9166034874905231,0.49794069192751234,0.6453162530024019,0.7846573208722741,0.20948337687938826,3996
4,-0.7143661914415469,0.7143661914415469,0.8212557855676036,0.9171931598011962,0.4969420356001826,0.6446227169118736,0.7845058650603799,0.19220129665516045,3906
2,-0.7142136897133533,0.7142136897133533,0.8209261385422169,0.9134866481341083,0.5010164479763445,0.6471132328807997,0.7843420900358755,0.18956722617858238,1191
19,-0.7138593530100159,0.7138593530100159,0.8215682844600531,0.9099486142700699,0.5083772590361446,0.6523143814728706,0.7858057382296456,0.333581696532277,3076
28,-0.7138435059014787,0.7138435059014787,0.8213750576001261,0.9257855277567181,0.48968497972641806,0.6405548755609956,0.7858194974759392,0.2781837764800789,3918
24,-0.7133837957489255,0.7133837957489255,0.8210409172993645,0.9224159716957291,0.49235611510791366,0.6420216352496262,0.7852389421146234,0.23842963894738298,2511
21,-0.7132819666556401,0.7132819666556401,0.8208306344146409,0.9174458765057704,0.4960601229788203,0.6439425294152427,0.7842134823370153,0.22174712140245045,3962
20,-0.7131803921200659,0.7131803921200659,0.8208146716734249,0.9045573245724876,0.5125536992840095,0.6543371621827488,0.784551538708829,0.2504522915128691,1827
26,-0.7131192944863709,0.7131192944863709,0.820936138282512,0.9253643332490944,0.48748557734978254,0.6385699752942886,0.7844411437059042,0.19754894843066448,3991
22,-0.712313013876158,0.712313013876158,0.8203718477715948,0.9235110774155505,0.48893943448398897,0.6393724666841629,0.7841243956169713,0.21229358701278112,1284
15,-0.7121825874497196,0.7121825874497196,0.8204445811649627,0.9216578215820066,0.4925050641458474,0.6419644428797747,0.7848749623380536,0.3504695886634879,618
23,-0.7121347050818647,0.7121347050818647,0.8204487780924071,0.9256170499536686,0.48787851878163574,0.6389672317041258,0.7847898751535582,0.23419624328313415,1190
0,-0.7114385852309817,0.7114385852309817,0.819522370434232,0.9136551259371578,0.4999308596450795,0.6462491807185843,0.7839084115121641,0.30735745295461453,510
10,-0.7112677951989392,0.7112677951989392,0.8200369025257795,0.9092747030578722,0.5034749755119176,0.6480936655658961,0.7830477489372198,0.18591917554751664,393
29,-0.7112612712507588,0.7112612712507588,0.819869626133258,0.9277230224917867,0.4847484484352304,0.6367736339982654,0.7843681893936156,0.20034116172116265,3999
8,-0.7103848460909741,0.7103848460909741,0.8198933620005905,0.9196360879454132,0.4925332731784345,0.641497238218357,0.78371548765955,0.32012852597068403,806
12,-0.710200541110463,0.710200541110463,0.8200301505986117,0.9100328531715947,0.5049310586585651,0.6494919737870498,0.7842012805063953,0.3393724476418094,778
7,-0.7101322274581434,0.7101322274581434,0.8200019454841151,0.9108752421868419,0.504126066483286,0.6490396158463385,0.7843123032509829,0.35305366496484997,3998
18,-0.7039771064915566,0.7039771064915566,0.8156892461162955,0.9140763204447814,0.4959550253667901,0.6430222222222223,0.7821893516716405,0.21120165156688825,1435
5,-0.7025086419041482,0.7025086419041482,0.8156139256855903,0.9255328110521439,0.4832211813343889,0.6349398982894129,0.7823158314464334,0.2664125587092697,3407
3,-0.7016621472773372,0.7016621472773372,0.8144391063772334,0.9133181703310589,0.4959743824336688,0.6428507900744123,0.7817547300415321,0.3236914351534789,3998
11,-0.7005419999635186,0.7005419999635186,0.8147723696483093,0.9149187094600286,0.4961399661961537,0.6433860553284758,0.7827747747747748,0.20084693821754832,1360
6,-0.6999437750768258,0.6999437750768258,0.8141122506289735,0.9283969337039845,0.4782589828154834,0.6313045968781326,0.7813208938294011,0.18067396797337987,1219
14,-0.6998917172342349,0.6998917172342349,0.8137448152377781,0.9102013309746441,0.49847757888909394,0.6441708647569082,0.7811596298438404,0.1923771713862074,3542
13,-0.6974256842186753,0.6974256842186753,0.8119254752234408,0.9064105804060315,0.5004651162790698,0.6448712954361572,0.7798909892148904,0.21657880342001937,3980
9,-0.6965951158139322,0.6965951158139322,0.8115648518299394,0.9238480330216494,0.48022945220475544,0.6319580500172871,0.7797812886619928,0.2777929541100683,3997
16,-0.695479581202304,0.695479581202304,0.8113040856748273,0.9199730435515121,0.48340120396600567,0.6337811566027334,0.7792254124093841,0.3522088891248307,3999
17,-0.6905637992833799,0.6905637992833799,0.8070948958334021,0.9155083817707017,0.4814601515084393,0.6310533039135989,0.7756541102245315,0.26457679102582793,3997
1,-0.6867357814536367,0.6867357814536367,0.8049181281775681,0.9192148934377896,0.4753027267183553,0.6266042665594763,0.7745379177195423,0.35241593180090103,3986
