iter	Passed	Remaining
0	84	508396
1	182	548258
2	305	610686
3	392	588248
4	502	602610
5	582	582128
6	649	555721
7	739	553823
8	834	555680
9	893	535097
10	948	516560
11	1014	506149
12	1081	498171
13	1187	507807
14	1251	499326
15	1335	499310
16	1404	494352
17	1479	491705
18	1567	493458
19	1649	493232
20	1698	483573
21	1777	483078
22	1854	481909
23	1954	486757
24	2029	485098
25	2114	485892
26	2201	487128
27	2270	484241
28	2334	480748
29	2427	483058
30	2513	483967
31	2587	482643
32	2680	484679
33	2768	485773
34	2851	485964
35	2957	490000
36	3062	493540
37	3126	490558
38	3210	490696
39	3295	491093
40	3392	493139
41	3482	494046
42	3562	493501
43	3647	493686
44	3738	494751
45	3829	495650
46	3930	497873
47	4035	500364
48	4130	501680
49	4226	502928
50	4304	502100
51	4375	500483
52	4449	499306
53	4527	498538
54	4630	500491
55	4723	501386
56	4814	501984
57	4897	501753
58	5001	503618
59	5084	503322
60	5166	503007
61	5273	505080
62	5357	504850
63	5450	505554
64	5542	506097
65	5655	508449
66	5786	512433
67	5916	516102
68	6039	519139
69	6127	519067
70	6216	519104
71	6307	519279
72	6401	519744
73	6494	520074
74	6582	520009
75	6666	519650
76	6746	518965
77	6826	518286
78	6886	516118
79	6989	517229
80	7073	516883
81	7181	518296
82	7252	517001
83	7334	516556
84	7393	514502
85	7484	514687
86	7591	515987
87	7671	515388
88	7757	515225
89	7853	515742
90	7944	515887
91	8037	516154
92	8138	516914
93	8246	518142
94	8323	517395
95	8413	517448
96	8488	516557
97	8589	517293
98	8665	516505
99	8754	516497
100	8844	516571
101	8912	515346
102	8996	515069
103	9100	515914
104	9184	515649
105	9271	515510
106	9359	515499
107	9451	515619
108	9536	515417
109	9634	515875
110	9710	515182
111	9789	514647
112	9873	514402
113	9953	513891
114	10047	514145
115	10143	514540
116	10244	515110
117	10361	516499
118	10449	516437
119	10545	516706
120	10592	514678
121	10620	511715
122	10699	511203
123	10799	511766
124	10891	511903
125	10968	511344
126	11014	509377
127	11092	508882
