iter	Logloss
0	0.6857094876
1	0.6783350403
2	0.6721193751
3	0.6651089522
4	0.6588594704
5	0.6528847089
6	0.6472000935
7	0.6417353958
8	0.6364888222
9	0.6310552702
10	0.6267367509
11	0.6223959617
12	0.6180451895
13	0.6138752014
14	0.6103167346
15	0.6065766142
16	0.6031508569
17	0.6000805208
18	0.5964217692
19	0.5933849347
20	0.5903580447
21	0.5875619737
22	0.5848671575
23	0.5822508556
24	0.5798298687
25	0.5776542927
26	0.5753193096
27	0.5732160361
28	0.5709882236
29	0.5693924092
30	0.5674768915
31	0.5655815481
32	0.5637330492
33	0.5623646185
34	0.5605609918
35	0.5589634715
36	0.5572499716
37	0.5556945211
38	0.554036361
39	0.5525279013
40	0.5511086151
41	0.5500620142
42	0.5487800047
43	0.5475324649
44	0.5464437704
45	0.5454524522
46	0.5444422702
47	0.5433938401
48	0.5423737065
49	0.5415167533
50	0.5404621619
51	0.5395639045
52	0.5387471882
53	0.5379652964
54	0.5372558357
55	0.5365785448
56	0.5358382688
57	0.5353490132
58	0.5349317151
59	0.5341884558
60	0.5336393255
61	0.5330638459
62	0.5325358793
63	0.5319139659
64	0.5314213656
65	0.5310110363
66	0.5305503758
67	0.5301181291
68	0.5295757845
69	0.5291344042
70	0.5286426683
71	0.5282458668
72	0.5277863085
73	0.5272579182
74	0.5267914472
75	0.5264362602
76	0.5260458578
77	0.5258131988
78	0.5255709819
79	0.525212215
80	0.524864832
81	0.5245949805
82	0.5243249469
83	0.5239974429
84	0.5237210781
85	0.5234347436
86	0.5231883241
87	0.5229504538
88	0.5227171318
89	0.5224501663
90	0.5222212059
91	0.5219560243
92	0.5217447746
93	0.5214371306
94	0.5211792833
95	0.5209753007
96	0.5207518097
97	0.5205218493
98	0.5203055726
99	0.5201235435
100	0.5198668561
101	0.5197427391
102	0.5195627588
103	0.5193823504
104	0.5192162542
105	0.5190122029
106	0.518826803
107	0.5186565696
108	0.5184587524
109	0.5183489884
110	0.5181451718
111	0.5179984781
112	0.5178946373
113	0.5178143498
114	0.5176287091
115	0.5175394914
116	0.5173708327
117	0.5172229699
118	0.5170857651
119	0.5169008347
120	0.5168186962
121	0.5167853052
122	0.5165961934
123	0.5164885118
124	0.5163993827
125	0.5163224793
126	0.5162916188
127	0.5161858377
128	0.5160740639
129	0.515965532
130	0.5158950693
131	0.5157651062
132	0.5156909217
133	0.5155844133
134	0.5155033094
135	0.5154156002
136	0.5153089255
137	0.5152540953
138	0.515166888
139	0.5150970745
140	0.5149887879
141	0.5148926317
142	0.5148566364
143	0.5148279742
144	0.5147801099
145	0.5146824462
146	0.5146165972
147	0.5145465807
148	0.5144660644
149	0.5143993523
150	0.5142959469
151	0.5142581594
152	0.5140919533
153	0.5139955241
154	0.5139103113
155	0.5138219041
156	0.5137253554
157	0.5136457422
158	0.5135911563
159	0.5135196086
160	0.5134477012
161	0.5133666235
162	0.5132714889
163	0.5131698343
164	0.5130928112
165	0.5130428102
166	0.5129942808
167	0.5129223237
168	0.5128652176
169	0.5128557414
170	0.5128157524
171	0.5127484111
172	0.5126811157
173	0.5126253734
174	0.512566012
175	0.5124958441
176	0.512438907
177	0.5124212057
178	0.5123621804
179	0.51231023
180	0.5122802533
181	0.5122358467
182	0.5121930155
183	0.512159123
184	0.512085866
185	0.5120336477
186	0.5119901853
187	0.5119270199
188	0.5118985381
189	0.511851789
190	0.5118020528
191	0.5117437722
192	0.5116903524
193	0.5116760988
194	0.5115890234
195	0.5115313172
196	0.5114664646
197	0.5114492554
198	0.5114055054
199	0.5113816672
200	0.5113283005
201	0.5112780964
202	0.5112320878
203	0.5111640719
204	0.5111238443
205	0.5110698015
206	0.511048426
207	0.511019605
208	0.5109714986
209	0.5109166131
210	0.5109105319
211	0.5108830738
212	0.5108465534
213	0.510814121
214	0.5107921841
215	0.510752511
216	0.5107136244
217	0.5106980897
218	0.5106754227
219	0.5106361096
220	0.5105904527
221	0.5105525334
222	0.5105004489
223	0.5104637272
224	0.510426264
225	0.5103916871
226	0.5103626248
227	0.5103234641
228	0.5103040248
229	0.5102867418
230	0.5102628625
231	0.5102271045
232	0.5102206416
233	0.510184513
234	0.5101551256
235	0.5101283489
236	0.5101081637
237	0.5100494054
238	0.5100222459
239	0.5100001577
240	0.5099608079
241	0.5099342933
242	0.5099022707
243	0.5098660161
244	0.50983559
245	0.5097846102
246	0.5097563527
247	0.5097145831
248	0.5096890944
249	0.5096637739
250	0.5096215662
251	0.5095957799
252	0.509571219
253	0.5095467155
254	0.5095235536
255	0.5095058222
256	0.5094411199
257	0.5094129465
258	0.5093804436
259	0.5093512189
260	0.5093160897
261	0.5092887432
262	0.5092591291
263	0.5092235416
264	0.5091897716
265	0.5091654555
266	0.5091426195
267	0.5091077092
268	0.5090884294
269	0.5090492845
270	0.5090149296
271	0.5089910612
272	0.5089721305
273	0.5089422528
274	0.5089227333
275	0.508893488
276	0.5088792768
277	0.5088548633
278	0.508836147
279	0.508819415
280	0.5087941715
281	0.508777799
282	0.5087577104
283	0.5087169946
284	0.5086860118
285	0.5086804061
286	0.5086469414
287	0.5086241728
288	0.5086194405
289	0.5086105106
290	0.5085931342
291	0.5085641234
292	0.5085414404
293	0.508522457
294	0.5085052972
295	0.5084922096
296	0.5084716274
297	0.5084623929
298	0.5084615666
299	0.5084443181
300	0.5084199786
301	0.5083973951
302	0.5083921137
303	0.5083681423
304	0.5083539924
305	0.5083181303
306	0.5083007066
307	0.508281992
308	0.5082789292
309	0.5082569407
310	0.5082436671
311	0.5082347875
312	0.5082109338
313	0.5081698752
314	0.5081548515
315	0.508133456
316	0.5081222953
317	0.5081222952
318	0.5081059849
319	0.5080881165
320	0.508085089
321	0.5080710187
322	0.508035537
323	0.5080170997
324	0.5080071029
325	0.5079909077
326	0.5079721584
327	0.5079596755
328	0.5079404314
329	0.507901933
330	0.5078870955
331	0.5078721811
332	0.5078611938
333	0.5078249949
334	0.5078054996
335	0.5077930794
336	0.5077805525
337	0.5077805523
338	0.5077742382
339	0.5077646765
340	0.5077434013
341	0.5077229422
342	0.5077108712
343	0.5076986335
344	0.5076938947
345	0.5076790618
346	0.5076790618
347	0.5076790616
348	0.5076502061
349	0.5076457899
350	0.5076222178
351	0.5075986191
352	0.5075828028
353	0.5075752561
354	0.5075596321
355	0.5075491353
356	0.5075299407
357	0.5075245311
358	0.5075104873
359	0.5075055373
360	0.5074897144
361	0.5074715483
362	0.5074606967
363	0.5074426418
364	0.5074337895
365	0.5074191104
366	0.507399013
367	0.5073904511
368	0.5073693346
369	0.5073686024
370	0.5073589788
371	0.5073480888
372	0.5073315903
373	0.5073242391
374	0.5073160177
375	0.5073160173
376	0.5072948816
377	0.5072485537
378	0.5072398727
379	0.5072280841
380	0.5072018927
381	0.5071936641
382	0.5071746506
383	0.5071646703
384	0.5071612653
385	0.5071470421
386	0.5071197557
387	0.5071100112
388	0.5070991962
389	0.507078112
390	0.5070756978
391	0.507067535
392	0.5070675345
393	0.5070437956
394	0.5070273347
395	0.5070108188
396	0.5070011938
397	0.5069989127
398	0.506986622
399	0.5069811388
400	0.5069648627
401	0.5069547629
402	0.5069332972
403	0.5069212078
404	0.506893313
405	0.506873632
406	0.5068647562
407	0.5068338211
408	0.506817342
409	0.5067843549
410	0.5067694953
411	0.5067589977
412	0.5067441356
413	0.5067149371
414	0.5067011717
415	0.5066941072
416	0.5066920861
417	0.5066688243
418	0.5066568953
419	0.5066404321
420	0.5066067668
421	0.5065997387
422	0.5065754222
423	0.5065637803
424	0.5065578947
425	0.5065561562
426	0.5065206918
427	0.5065075759
428	0.5064690992
429	0.5064388881
430	0.5064346072
431	0.5064320116
432	0.5064191268
433	0.5064076385
434	0.5063972687
435	0.5063896746
436	0.5063719895
437	0.5063616887
438	0.5063354571
439	0.5063212774
440	0.5063068342
441	0.5062821864
442	0.5062821861
443	0.5062650152
444	0.5062650149
445	0.5062609705
446	0.5062484393
447	0.5062274864
448	0.5062110297
449	0.5061961328
450	0.5061843314
451	0.5061843311
452	0.5061760187
453	0.5061752773
454	0.5061687364
455	0.5061440963
