feature,importance
dep,25.020820709082326
col,13.690654896451392
vma_bucket,11.084940539220426
int,10.698169751406098
circ,7.750491768306608
catr,6.383720169602021
catv_family_4,5.796222283392163
manv_mode,4.280601873713109
driver_trajet_family,3.6489325701471027
driver_age_bucket,3.2149237738008303
lum,2.5401984894267393
atm,2.0722820062734253
choc_mode,1.8008031332288468
time_bucket,1.7859264911585306
agg,0.2313115447904094
