iter	Passed	Remaining
0	100	604901
1	217	652568
2	326	653388
3	427	641135
4	489	587219
5	577	576978
6	668	572558
7	789	591146
8	908	604430
9	989	592670
10	1075	585514
11	1189	593626
12	1283	591215
13	1393	595638
14	1459	582227
15	1547	578646
16	1606	565313
17	1681	558854
18	1734	546011
19	1842	550873
20	1930	549502
21	2013	546989
22	2070	538166
23	2141	533326
24	2243	536248
25	2336	536866
26	2434	538542
27	2516	536673
28	2587	532840
29	2663	530103
30	2753	530187
31	2847	530969
32	2946	532770
33	3032	532102
34	3125	532638
35	3206	531192
36	3274	527776
37	3346	525016
38	3407	520747
39	3496	520909
40	3616	525641
41	3714	526976
42	3797	526119
43	3905	528653
44	3985	527349
45	4104	531274
46	4213	533694
47	4284	531319
48	4366	530327
49	4442	528640
50	4517	527002
51	4609	527261
52	4693	526610
53	4774	525778
54	4881	527641
55	4973	527888
56	5045	526060
57	5128	525361
58	5229	526613
59	5302	524929
60	5355	521385
61	5447	521722
62	5519	520181
63	5589	518458
64	5635	514575
65	5717	514076
66	5799	513595
67	5897	514434
68	5994	515257
69	6085	515539
70	6175	515723
71	6263	515706
72	6351	515649
73	6477	518702
74	6564	518597
75	6651	518476
76	6748	519123
77	6828	518431
78	6884	516005
79	6989	517212
80	7082	517570
81	7168	517342
82	7277	518792
83	7381	519892
84	7472	519975
85	7523	517401
86	7578	515096
87	7669	515218
88	7746	514461
89	7837	514652
90	7953	516467
91	8061	517683
92	8167	518770
93	8272	519752
94	8383	521092
95	8480	521543
96	8567	521377
97	8666	521956
98	8775	523092
99	8872	523506
100	8939	522144
101	9018	521507
102	9127	522547
103	9224	522931
104	9298	522020
105	9393	522321
106	9494	522900
107	9552	521145
108	9632	520571
109	9720	520499
110	9802	520048
111	9864	518594
112	9954	518589
113	10029	517814
114	10117	517749
115	10183	516537
116	10265	516162
117	10351	515989
118	10431	515542
119	10519	515468
120	10592	514646
121	10683	514729
122	10783	515236
123	10875	515340
124	10964	515320
125	11065	515865
126	11143	515337
127	11242	515747
128	11357	516876
129	11472	518044
130	11521	516162
131	11606	515968
132	11709	516537
133	11795	516365
134	11890	516563
135	11981	516607
136	12070	516581
137	12156	516367
138	12252	516641
139	12342	516642
140	12427	516385
141	12506	515948
142	12574	515011
143	12652	514531
144	12757	515128
145	12842	514923
146	12928	514759
147	13014	514618
148	13117	515090
149	13211	515262
150	13297	515072
151	13389	515151
152	13491	515603
153	13591	515953
154	13649	514726
155	13753	515230
156	13832	514783
157	13926	514939
158	14019	515024
159	14107	514936
160	14196	514854
161	14268	514184
162	14373	514695
163	14463	514680
164	14503	512882
165	14579	512396
166	14661	512096
167	14790	513427
168	14877	513321
169	14965	513214
170	15033	512456
171	15121	512362
172	15219	512608
173	15289	511933
174	15390	512297
175	15474	512061
176	15547	511495
177	15637	511468
178	15729	511527
179	15817	511431
180	15915	511667
181	15985	511023
182	16074	510956
183	16103	508999
184	16196	509088
185	16272	508635
186	16352	508313
187	16436	508143
188	16540	508556
189	16600	507633
190	16679	507279
191	16734	506232
192	16811	505829
193	16891	505528
194	16918	503664
195	16973	502617
196	17064	502676
197	17142	502335
198	17218	501945
199	17312	502065
200	17401	502049
201	17499	502290
202	17571	501796
203	17666	501935
204	17745	501626
205	17832	501547
206	17904	501062
207	18001	501286
208	18098	501463
209	18172	501054
210	18258	500932
211	18350	501003
212	18442	501072
213	18542	501349
214	18640	501569
215	18740	501828
216	18823	501632
217	18913	501654
218	19006	501708
219	19098	501764
220	19196	501976
221	19282	501856
222	19371	501842
223	19436	501188
224	19535	501400
225	19633	501609
226	19700	501017
227	19780	500771
228	19871	500785
229	19940	500237
230	20028	500184
231	20117	500150
232	20206	500143
233	20306	500370
234	20399	500446
235	20491	500479
236	20573	500269
237	20659	500172
238	20743	500021
239	20830	499925
240	20915	499796
241	20977	499132
242	21065	499079
243	21156	499092
244	21236	498831
245	21320	498690
246	21421	498948
247	21492	498484
248	21563	498038
249	21603	496880
250	21656	496029
251	21759	496331
252	21875	496902
253	21905	495542
254	21987	495371
255	22086	495562
256	22195	495997
257	22279	495852
258	22370	495869
259	22447	495582
260	22532	495466
261	22625	495523
262	22699	495166
263	22786	495099
264	22878	495121
265	22962	494990
266	23016	494205
267	23088	493814
268	23179	493836
269	23226	492907
270	23298	492536
271	23393	492648
272	23489	492768
273	23578	492729
274	23679	492954
275	23778	493154
276	23878	493342
277	23961	493189
278	24049	493153
279	24128	492913
280	24219	492932
281	24312	492967
282	24352	491960
283	24402	491139
284	24514	491582
285	24605	491585
286	24699	491664
287	24779	491458
288	24861	491288
289	24965	491563
290	24985	490173
291	25003	488775
292	25099	488889
293	25196	489015
294	25269	488678
295	25349	488489
296	25421	488142
297	25454	487051
298	25564	487428
299	25645	487259
300	25739	487332
301	25771	486243
302	25801	485124
303	25883	484982
304	25936	484281
305	26030	484371
306	26116	484305
307	26200	484190
308	26252	483505
309	26344	483549
310	26429	483455
311	26515	483403
312	26622	483706
313	26693	483372
314	26790	483496
315	26829	482598
316	26910	482432
317	26999	482422
318	27083	482331
319	27118	481356
320	27217	481528
321	27297	481358
322	27359	480873
323	27451	480904
324	27540	480897
325	27630	480902
326	27711	480751
327	27761	480066
328	27854	480131
329	27941	480089
330	28016	479828
331	28104	479807
332	28195	479827
333	28276	479687
334	28370	479752
335	28467	479884
336	28557	479891
337	28664	480169
338	28758	480248
339	28837	480060
340	28876	479207
341	28959	479094
342	29058	479259
343	29161	479465
344	29251	479466
345	29299	478783
346	29392	478836
347	29490	478963
348	29571	478826
349	29693	479337
350	29733	478534
351	29828	478610
352	29850	477523
353	30002	478522
354	30056	477939
355	30182	478504
356	30215	477614
357	30321	477862
358	30426	478099
359	30527	478265
360	30768	480621
361	30791	479562
362	30890	479702
363	31006	480094
364	31064	479583
365	31189	480109
366	31303	480464
367	31408	480692
368	31514	480912
369	31641	481460
370	31697	480924
371	31809	481246
372	31914	481456
373	32027	481786
374	32138	482078
375	32172	481215
376	32284	481521
377	32368	481420
378	32463	481469
379	32568	481675
380	32639	481373
381	32663	480373
382	32768	480569
383	32878	480844
384	32915	480053
385	32953	479270
386	33047	479313
387	33152	479510
388	33258	479723
389	33372	480049
390	33457	479961
391	33556	480058
392	33679	480516
393	33799	480911
394	33889	480894
395	33986	480964
396	34083	481031
397	34165	480891
398	34260	480941
399	34290	480070
400	34382	480070
401	34403	479081
402	34506	479232
403	34628	479653
404	34738	479907
405	34866	480403
406	34962	480457
407	34988	479552
408	35083	479583
409	35202	479958
410	35225	479013
411	35312	478943
412	35406	478974
413	35501	479010
414	35600	479102
415	35687	479039
416	35778	479023
417	35817	478313
418	35932	478618
419	35982	478051
420	36051	477741
421	36150	477840
422	36221	477556
423	36327	477737
424	36416	477705
425	36517	477818
426	36592	477593
427	36684	477589
428	36795	477831
429	36904	478038
430	36990	477956
431	37032	477305
432	37111	477133
433	37203	477125
434	37299	477171
435	37393	477194
436	37494	477307
437	37613	477645
438	37719	477815
439	37813	477821
440	37898	477724
441	37979	477573
442	38078	477659
443	38176	477724
444	38296	478064
445	38343	477486
446	38447	477624
447	38539	477614
448	38633	477631
449	38713	477461
450	38796	477343
451	38903	477508
452	39000	477559
453	39099	477635
454	39214	477904
455	39330	478181
456	39444	478426
457	39463	477530
458	39571	477704
459	39655	477594
460	39749	477591
461	39843	477607
462	39948	477741
463	40047	477810
464	40154	477964
465	40254	478049
466	40288	477336
467	40372	477228
468	40472	477304
469	40546	477068
470	40617	476801
471	40696	476626
472	40794	476683
473	40907	476903
474	41029	477238
475	41123	477237
476	41225	477335
477	41338	477554
478	41441	477660
479	41544	477764
480	41628	477649
481	41686	477230
482	41792	477372
483	41888	477391
484	41986	477439
485	42090	477542
486	42164	477311
487	42269	477436
488	42375	477567
489	42466	477535
490	42558	477500
491	42659	477577
492	42678	476733
493	42778	476794
494	42868	476752
495	42952	476629
496	43046	476632
497	43165	476900
498	43279	477111
499	43382	477207
500	43477	477215
501	43579	477289
502	43684	477398
503	43762	477222
504	43878	477452
505	43992	477662
506	44116	477968
507	44168	477508
508	44263	477504
509	44360	477525
