iter	Logloss
0	0.685644075
1	0.6781894333
2	0.6712990241
3	0.6642077878
4	0.658187038
5	0.6525115848
6	0.6470375176
7	0.6422891759
8	0.6368692039
9	0.6316477953
10	0.6274762505
11	0.62239044
12	0.6175481173
13	0.6133367639
14	0.6094913005
15	0.6053669113
16	0.6017818181
17	0.5983129407
18	0.5950535792
19	0.5915284886
20	0.5886305703
21	0.5855345405
22	0.5828298324
23	0.5802488126
24	0.5777610195
25	0.5753338225
26	0.5732924907
27	0.5711327933
28	0.5689269237
29	0.5669380955
30	0.564995713
31	0.5630615603
32	0.5614239259
33	0.5598204548
34	0.5581544435
35	0.5565319126
36	0.5550363863
37	0.5538796447
38	0.552678142
39	0.5517954521
40	0.5503839161
41	0.5490032466
42	0.5478418937
43	0.5468908601
44	0.5458023934
45	0.5446486246
46	0.5436124592
47	0.542752528
48	0.5419335209
49	0.5409773585
50	0.5399121562
51	0.5390290183
52	0.5382212788
53	0.5374587332
54	0.5366078248
55	0.5358899311
56	0.5351459083
57	0.5345091725
58	0.5338253207
59	0.5331787538
60	0.5328978071
61	0.5323233888
62	0.5318626157
63	0.5313396311
64	0.531004776
65	0.5305475697
66	0.529991224
67	0.5294873542
68	0.5291296796
69	0.5287928148
70	0.5283219491
71	0.5280141177
72	0.5276618909
73	0.5271848137
74	0.5266871119
75	0.5264100539
76	0.5259767961
77	0.5256692683
78	0.5254768828
79	0.5251118692
80	0.5248454251
81	0.5245198906
82	0.5242267459
83	0.5240174533
84	0.5237692841
85	0.523585081
86	0.5234217873
87	0.5231363062
88	0.5229522571
89	0.5226617066
90	0.5224722224
91	0.5222339229
92	0.5218827119
93	0.5216469395
94	0.5213677047
95	0.5210617292
96	0.5208381108
97	0.5206747202
98	0.5204395634
99	0.5202101462
100	0.5200283959
101	0.5198203521
102	0.519661114
103	0.5194235692
104	0.5192230953
105	0.5190457126
106	0.5189053949
107	0.5188134273
108	0.5185639491
109	0.5183716324
110	0.5181261087
111	0.517982278
112	0.5177844482
