iter	Logloss
0	0.6856437033
1	0.6779157718
2	0.6712092902
3	0.664823556
4	0.6582609211
5	0.6527168356
6	0.6475280573
7	0.6424054292
8	0.6370063404
9	0.6326471063
10	0.6277425573
11	0.6233265842
12	0.6190256505
13	0.6151133978
14	0.6119862977
15	0.6082364658
16	0.6045604775
17	0.600627988
18	0.5971698486
19	0.5938267127
20	0.5907906985
21	0.5879506659
22	0.5850837885
23	0.5822674217
24	0.5797611925
25	0.5771962174
26	0.575120018
27	0.5728077406
28	0.5705010998
29	0.5685823581
30	0.5666717366
31	0.5647049585
32	0.5628158711
33	0.5610118918
34	0.5593425381
35	0.5577576283
36	0.5561244963
37	0.5546714333
38	0.5531312534
39	0.5517886159
40	0.5507865315
41	0.5497427367
42	0.5485847922
43	0.5472585382
44	0.546355628
45	0.5451760412
46	0.5441683087
47	0.5431645128
48	0.5420754745
49	0.5412654757
50	0.540408774
51	0.5394700642
52	0.5386009594
53	0.5377739641
54	0.5370589619
55	0.5363483695
56	0.5355057952
57	0.5351076641
58	0.5343202736
59	0.5337128443
60	0.5332111391
61	0.5326897581
62	0.5320245201
63	0.5313992517
64	0.5306898248
65	0.5302761315
66	0.5297039383
67	0.529323646
68	0.5288335606
69	0.5284112396
70	0.5279902599
71	0.5275781661
72	0.5272835383
73	0.526795726
74	0.5264000617
75	0.5261313696
76	0.5258150409
77	0.525440041
78	0.5252067647
79	0.5249794451
80	0.5245086357
81	0.5242619137
82	0.524017094
83	0.5236938528
84	0.5233524251
85	0.5230716074
86	0.5228117954
87	0.522473904
88	0.5222151222
89	0.5219751034
90	0.5217433501
91	0.5214584187
92	0.5211449322
93	0.5208757672
94	0.5207353229
95	0.5205526456
96	0.5202880835
97	0.5200665941
98	0.5198369828
99	0.5195711791
100	0.5193987793
101	0.519228107
102	0.5191440296
103	0.5188863977
104	0.5186341612
105	0.5184622483
106	0.5182560656
107	0.5181283528
108	0.5179160227
109	0.5177686646
110	0.5175108459
111	0.5173676447
112	0.5171753032
113	0.5169831287
114	0.5167884093
115	0.5166883463
116	0.5165685803
